boki-experiment_slog-engine.1.bv1932vwrz50@christina    | I0801 16:34:25.903619 Main     buffer_pool.h:26] BufferPool[IOUring[3]-0]: Allocate new buffer, current buffer count is 1
boki-experiment_slog-engine.1.twcdtlkmxbfq@christina    | I0801 16:34:20.229894 IO-1/EL  io_worker.cpp:167] IO-1: Event loop starts
boki-experiment_slog-engine.1.twcdtlkmxbfq@christina    | I0801 16:34:20.230031 Main     io_uring.cpp:70] io_uring[2]: register 4096 fd slots
boki-experiment_slog-engine.1.bv1932vwrz50@christina    | I0801 16:34:25.903622 Main     io_uring.cpp:123] io_uring[3]: register fd 21, 2 registered fds in total
boki-experiment_slog-engine.1.bv1932vwrz50@christina    | I0801 16:34:25.903624 Main     buffer_pool.h:26] BufferPool[IOUring[3]-0]: Allocate new buffer, current buffer count is 2
boki-experiment_slog-engine.1.twcdtlkmxbfq@christina    | I0801 16:34:20.230147 Main     io_uring.cpp:123] io_uring[2]: register fd 18, 1 registered fds in total
boki-experiment_slog-engine.1.twcdtlkmxbfq@christina    | I0801 16:34:20.230152 Main     buffer_pool.h:26] BufferPool[IOUring[2]-0]: Allocate new buffer, current buffer count is 1
boki-experiment_slog-engine.1.bv1932vwrz50@christina    | I0801 16:34:25.903659 IO-3/EL  thread.cpp:62] Start thread: IO-3/EL (tid=17)
boki-experiment_slog-engine.1.twcdtlkmxbfq@christina    | I0801 16:34:20.230157 Main     io_uring.cpp:123] io_uring[2]: register fd 17, 2 registered fds in total
boki-experiment_slog-engine.1.bv1932vwrz50@christina    | I0801 16:34:25.903718 IO-3/EL  io_worker.cpp:167] IO-3: Event loop starts
boki-experiment_slog-engine.1.twcdtlkmxbfq@christina    | I0801 16:34:20.230161 Main     buffer_pool.h:26] BufferPool[IOUring[2]-0]: Allocate new buffer, current buffer count is 2
boki-experiment_slog-engine.1.bv1932vwrz50@christina    | I0801 16:34:25.903772 Main     func_config.cpp:140] Load configuration for function RandomAppendAndReadLoopAsync[1]
boki-experiment_slog-engine.1.twcdtlkmxbfq@christina    | I0801 16:34:20.230205 IO-2/EL  thread.cpp:62] Start thread: IO-2/EL (tid=14)
boki-experiment_slog-engine.1.bv1932vwrz50@christina    | I0801 16:34:25.903787 Main     func_config.cpp:140] Load configuration for function TestSystem[2]
boki-experiment_slog-engine.1.bv1932vwrz50@christina    | I0801 16:34:25.903849 Main     engine.cpp:111] Engine: Listen on /tmp/slog/ipc/engine.sock for IPC connections
boki-experiment_slog-engine.1.bv1932vwrz50@christina    | I0801 16:34:25.904219 Main     server_base.cpp:186] ServerBase: Listen on 10.0.16.46:27518 for message connections
boki-experiment_slog-engine.1.bv1932vwrz50@christina    | F0801 16:34:25.905031 ZK/EL    zk_utils.cpp:210] GetChildren failed on path /faas/view: no node
boki-experiment_slog-engine.1.bv1932vwrz50@christina    | *** SIGABRT received at time=1659371665 on cpu 8 ***
boki-experiment_slog-engine.1.vfelkbsaf3g9@christina    | I0801 16:34:31.552048 IO-1/EL  io_worker.cpp:167] IO-1: Event loop starts
boki-experiment_slog-engine.1.twcdtlkmxbfq@christina    | I0801 16:34:20.230272 IO-2/EL  io_worker.cpp:167] IO-2: Event loop starts
boki-experiment_slog-engine.1.bv1932vwrz50@christina    | PC: @     0x7f5a0f67024b  (unknown)  raise
boki-experiment_slog-engine.1.vfelkbsaf3g9@christina    | I0801 16:34:31.552166 Main     io_uring.cpp:70] io_uring[2]: register 4096 fd slots
boki-experiment_slog-engine.1.bv1932vwrz50@christina    | Invoke 4 clean-up functions
boki-experiment_slog-engine.1.vfelkbsaf3g9@christina    | I0801 16:34:31.552290 Main     io_uring.cpp:123] io_uring[2]: register fd 18, 1 registered fds in total
boki-experiment_slog-engine.1.vfelkbsaf3g9@christina    | I0801 16:34:31.552295 Main     buffer_pool.h:26] BufferPool[IOUring[2]-0]: Allocate new buffer, current buffer count is 1
boki-experiment_slog-engine.1.vfelkbsaf3g9@christina    | I0801 16:34:31.552299 Main     io_uring.cpp:123] io_uring[2]: register fd 17, 2 registered fds in total
boki-experiment_slog-engine.1.vfelkbsaf3g9@christina    | I0801 16:34:31.552300 Main     buffer_pool.h:26] BufferPool[IOUring[2]-0]: Allocate new buffer, current buffer count is 2
boki-experiment_slog-engine.1.twcdtlkmxbfq@christina    | I0801 16:34:20.230364 Main     io_uring.cpp:70] io_uring[3]: register 4096 fd slots
boki-experiment_slog-engine.1.twcdtlkmxbfq@christina    | I0801 16:34:20.230488 Main     io_uring.cpp:123] io_uring[3]: register fd 22, 1 registered fds in total
boki-experiment_slog-engine.1.vfelkbsaf3g9@christina    | I0801 16:34:31.552341 IO-2/EL  thread.cpp:62] Start thread: IO-2/EL (tid=14)
boki-experiment_slog-engine.1.vfelkbsaf3g9@christina    | I0801 16:34:31.552413 IO-2/EL  io_worker.cpp:167] IO-2: Event loop starts
boki-experiment_slog-engine.1.vfelkbsaf3g9@christina    | I0801 16:34:31.552545 Main     io_uring.cpp:70] io_uring[3]: register 4096 fd slots
boki-experiment_slog-engine.1.twcdtlkmxbfq@christina    | I0801 16:34:20.230494 Main     buffer_pool.h:26] BufferPool[IOUring[3]-0]: Allocate new buffer, current buffer count is 1
boki-experiment_slog-engine.1.twcdtlkmxbfq@christina    | I0801 16:34:20.230499 Main     io_uring.cpp:123] io_uring[3]: register fd 21, 2 registered fds in total
boki-experiment_slog-engine.1.vfelkbsaf3g9@christina    | I0801 16:34:31.552677 Main     io_uring.cpp:123] io_uring[3]: register fd 22, 1 registered fds in total
boki-experiment_slog-engine.1.twcdtlkmxbfq@christina    | I0801 16:34:20.230502 Main     buffer_pool.h:26] BufferPool[IOUring[3]-0]: Allocate new buffer, current buffer count is 2
boki-experiment_slog-engine.1.vfelkbsaf3g9@christina    | I0801 16:34:31.552683 Main     buffer_pool.h:26] BufferPool[IOUring[3]-0]: Allocate new buffer, current buffer count is 1
boki-experiment_slog-engine.1.vfelkbsaf3g9@christina    | I0801 16:34:31.552687 Main     io_uring.cpp:123] io_uring[3]: register fd 21, 2 registered fds in total
boki-experiment_slog-engine.1.twcdtlkmxbfq@christina    | I0801 16:34:20.230539 IO-3/EL  thread.cpp:62] Start thread: IO-3/EL (tid=17)
boki-experiment_slog-engine.1.twcdtlkmxbfq@christina    | I0801 16:34:20.230602 IO-3/EL  io_worker.cpp:167] IO-3: Event loop starts
boki-experiment_slog-engine.1.vfelkbsaf3g9@christina    | I0801 16:34:31.552688 Main     buffer_pool.h:26] BufferPool[IOUring[3]-0]: Allocate new buffer, current buffer count is 2
boki-experiment_slog-engine.1.twcdtlkmxbfq@christina    | I0801 16:34:20.230647 Main     func_config.cpp:140] Load configuration for function RandomAppendAndReadLoopAsync[1]
boki-experiment_slog-engine.1.vfelkbsaf3g9@christina    | I0801 16:34:31.552728 IO-3/EL  thread.cpp:62] Start thread: IO-3/EL (tid=17)
boki-experiment_slog-engine.1.vfelkbsaf3g9@christina    | I0801 16:34:31.552788 IO-3/EL  io_worker.cpp:167] IO-3: Event loop starts
boki-experiment_slog-engine.1.twcdtlkmxbfq@christina    | I0801 16:34:20.230662 Main     func_config.cpp:140] Load configuration for function TestSystem[2]
boki-experiment_slog-engine.1.vfelkbsaf3g9@christina    | I0801 16:34:31.552854 Main     func_config.cpp:140] Load configuration for function RandomAppendAndReadLoopAsync[1]
boki-experiment_slog-engine.1.twcdtlkmxbfq@christina    | I0801 16:34:20.230741 Main     engine.cpp:111] Engine: Listen on /tmp/slog/ipc/engine.sock for IPC connections
boki-experiment_slog-engine.1.vfelkbsaf3g9@christina    | I0801 16:34:31.552873 Main     func_config.cpp:140] Load configuration for function TestSystem[2]
boki-experiment_slog-engine.1.twcdtlkmxbfq@christina    | I0801 16:34:20.231063 Main     server_base.cpp:186] ServerBase: Listen on 10.0.16.44:20485 for message connections
boki-experiment_slog-engine.1.twcdtlkmxbfq@christina    | F0801 16:34:20.232929 ZK/EL    zk_utils.cpp:210] GetChildren failed on path /faas/view: no node
boki-experiment_slog-engine.1.bv1932vwrz50@christina    | Cleaning up io_uring[0]
boki-experiment_slog-engine.1.st6wetv6ivi3@christina    | I0801 16:35:50.786524 Main     buffer_pool.h:26] BufferPool[IOUring[2]-0]: Allocate new buffer, current buffer count is 1
boki-experiment_slog-engine.1.bv1932vwrz50@christina    | Cleaning up io_uring[1]
